provider_id,specialty,n_claims,em_high_share,em5_share,em_mean_level,mod25_rate,dup_rate,visits_per_month,visits_cv,paid_per_visit
P0059,Family Medicine,2359,0.4861,0.1315,3.5433,0.0324,0.0068,97.625,0.1126,117.5017
P0060,Family Medicine,2138,0.347,0.0916,3.3041,0.0831,0.0094,88.25,0.1068,111.8347
P0061,Cardiology,736,0.7077,0.1093,3.7609,0.0943,0.0054,30.5,0.16,129.936
P0062,Cardiology,969,0.5936,0.2786,3.8576,0.0821,0.0072,40.0833,0.2169,134.8505
P0063,Cardiology,1025,0.6259,0.2262,3.7248,0.0979,0.0039,42.5417,0.1691,130.3744
P0064,Cardiology,1157,0.5779,0.1064,3.5631,0.096,0.0009,48.1667,0.1514,122.7719
P0065,Cardiology,762,0.5881,0.2384,3.8066,0.0808,0.0092,31.4583,0.2152,132.4165
P0066,Cardiology,895,0.5687,0.1284,3.6295,0.1216,0.0078,37.0,0.1893,127.5651
P0067,Cardiology,753,0.7175,0.261,3.9237,0.0977,0.008,31.125,0.154,138.6498
P0068,Cardiology,1164,0.6693,0.2366,3.861,0.0579,0.0052,48.25,0.1614,132.8588
P0069,Cardiology,1311,0.7136,0.1708,3.8637,0.1187,0.0038,54.4167,0.1761,136.2669
P0070,Cardiology,745,0.6328,0.1789,3.7439,0.1463,0.0094,30.75,0.2262,132.9351
P0071,Cardiology,625,0.7721,0.1782,3.8989,0.1284,0.0032,25.9583,0.1995,138.5475
P0072,Cardiology,738,0.7367,0.2619,3.9372,0.1078,0.0068,30.5417,0.2392,138.658
P0073,Cardiology,953,0.6989,0.1138,3.7957,0.1436,0.0136,39.1667,0.1475,134.6629
P0074,Cardiology,1279,0.7474,0.288,3.9953,0.081,0.0063,52.9583,0.1045,140.7458
P0075,Cardiology,1070,0.5933,0.1575,3.7123,0.1321,0.0028,44.4583,0.1635,131.7866
P0076,Cardiology,861,0.5029,0.2016,3.5909,0.1067,0.0093,35.5417,0.1835,126.0173
P0077,Cardiology,446,0.6847,0.1914,3.8153,0.1622,0.0045,18.5,0.2249,138.0001
P0078,Cardiology,1566,0.7076,0.2359,3.9049,0.1407,0.0064,64.8333,0.1192,140.2925
P0079,Cardiology,820,0.6024,0.1024,3.6512,0.0817,0.0,34.1667,0.1715,125.1911
P0080,Cardiology,914,0.6454,0.2086,3.8167,0.0867,0.0033,37.9583,0.1645,133.0587
P0081,Cardiology,992,0.69,0.2168,3.8987,0.0892,0.005,41.125,0.1643,136.0759
P0082,Cardiology,705,0.6216,0.192,3.7525,0.1366,0.0028,29.2917,0.1782,133.9263
P0083,Cardiology,1240,0.6563,0.1722,3.8008,0.102,0.0121,51.0417,0.1515,132.2118
P0084,Cardiology,922,0.7262,0.1928,3.9047,0.1632,0.0098,38.0417,0.1656,141.8461
P0085,Cardiology,1067,0.6456,0.18,3.7352,0.1244,0.0056,44.2083,0.2034,132.3617
P0086,Cardiology,895,0.7164,0.1895,3.87,0.1143,0.0034,37.1667,0.1964,137.0351
P0087,Cardiology,1206,0.6501,0.2131,3.8184,0.1302,0.0,50.25,0.1592,135.5404
P0088,Cardiology,640,0.7543,0.2739,3.964,0.1346,0.0016,26.625,0.2115,142.7812
P0089,Cardiology,983,0.6789,0.2546,3.9182,0.1217,0.0051,40.75,0.1754,139.574
P0090,Cardiology,962,0.6583,0.2396,3.8302,0.0833,0.0021,40.0,0.2004,133.6493
P0091,Cardiology,1187,0.7251,0.2621,3.9285,0.1583,0.0101,48.9583,0.1402,142.2342
P0092,Cardiology,925,0.641,0.1377,3.7202,0.1529,0.0032,38.4167,0.1972,132.9961
P0093,Cardiology,1077,0.5769,0.1966,3.7092,0.0951,0.0037,44.7083,0.185,128.9356
P0094,Cardiology,966,0.8075,0.3736,4.1634,0.1124,0.0052,40.0417,0.1585,150.2204
P0095,Cardiology,975,0.5864,0.1646,3.7016,0.1471,0.0031,40.5,0.136,132.7865
P0096,Cardiology,1218,0.6007,0.1683,3.7129,0.1411,0.0049,50.5,0.1627,132.7625
P0097,Cardiology,1040,0.6068,0.2204,3.8136,0.1049,0.0096,42.9167,0.1696,133.5189
P0098,Cardiology,923,0.5832,0.197,3.6736,0.1262,0.0043,38.2917,0.1423,130.7829
P0099,Cardiology,779,0.7323,0.1544,3.8533,0.1158,0.0026,32.375,0.1201,135.6925
P0100,Cardiology,1097,0.6029,0.2059,3.7454,0.1167,0.0082,45.3333,0.1453,133.5505
P0101,Cardiology,1000,0.6797,0.1942,3.8368,0.1451,0.001,41.625,0.1453,137.7458
P0102,Cardiology,1185,0.6706,0.1138,3.7699,0.1002,0.0059,49.0833,0.1262,130.1593
P0103,Cardiology,1279,0.7132,0.2072,3.8826,0.1095,0.0078,52.875,0.1406,136.1362
P0104,Cardiology,967,0.674,0.2208,3.8469,0.1073,0.0072,40.0,0.1317,135.8541
P0105,Cardiology,932,0.7519,0.2945,3.9903,0.1165,0.0054,38.625,0.2224,143.1487
P0106,Cardiology,1240,0.6494,0.1882,3.7989,0.0509,0.0016,51.5833,0.1238,129.4055
P0107,Cardiology,742,0.7713,0.3694,4.1083,0.111,0.004,30.7917,0.1862,148.0317
P0108,Cardiology,594,0.661,0.2322,3.8525,0.0712,0.0067,24.5833,0.1854,133.3526
P0109,Cardiology,826,0.719,0.2105,3.8637,0.1484,0.0048,34.25,0.1807,139.4704
P0110,Cardiology,1171,0.665,0.1131,3.6615,0.1191,0.0034,48.625,0.1726,128.3427
P0111,Cardiology,795,0.6843,0.1748,3.8289,0.0881,0.0,33.125,0.1704,132.5258
P0112,Cardiology,738,0.7188,0.2323,3.9402,0.0829,0.0027,30.6667,0.1614,137.9474
P0113,Cardiology,1133,0.5851,0.219,3.766,0.0887,0.0044,47.0,0.1721,130.7787
P0114,Cardiology,1233,0.6715,0.1958,3.8161,0.0979,0.1135,45.5417,0.1841,134.1024
P0115,Cardiology,845,0.5726,0.1488,3.7048,0.1274,0.0059,35.0,0.1505,130.2654
P0116,Cardiology,818,0.5614,0.1511,3.6437,0.1388,0.0049,33.9167,0.1633,129.1314
P0117,Cardiology,1458,0.633,0.2626,3.8093,0.1064,0.0075,60.2917,0.1394,134.7112
P0118,Cardiology,567,0.7074,0.3582,4.0567,0.117,0.0053,23.5,0.1878,146.394
P0119,Cardiology,815,0.5684,0.1566,3.7164,0.0432,0.0049,33.7917,0.1609,124.55
P0120,Cardiology,1179,0.5951,0.2182,3.7468,0.1006,0.0051,48.875,0.1563,131.8013
P0121,Orthopedics,939,0.5075,0.0887,3.4626,0.1079,0.0032,39.0,0.1682,119.0288
P0122,Orthopedics,1076,0.479,0.1908,3.5706,0.1515,0.0065,44.5417,0.1219,128.4058
P0123,Orthopedics,922,0.5437,0.1015,3.5546,0.2391,0.0065,38.1667,0.1245,133.5564
P0124,Orthopedics,703,0.4857,0.1743,3.5314,0.1471,0.0043,29.1667,0.1941,126.1209
P0125,Orthopedics,729,0.4466,0.1068,3.473,0.1262,0.011,30.0417,0.1421,120.7188
P0126,Orthopedics,1128,0.4244,0.1325,3.4485,0.1683,0.0098,46.5417,0.1514,124.0627
P0127,Orthopedics,1197,0.477,0.1871,3.5447,0.1696,0.0,49.875,0.1728,129.0083
P0128,Orthopedics,736,0.6762,0.2036,3.8033,0.1134,0.0054,30.5,0.1946,134.7778
P0129,Orthopedics,786,0.5641,0.1128,3.6103,0.1346,0.0076,32.5,0.2219,126.5203
P0130,Orthopedics,590,0.5306,0.0952,3.4983,0.1582,0.0034,24.5,0.1922,124.7634
P0131,Orthopedics,1169,0.488,0.0865,3.4897,0.1259,0.0009,48.6667,0.14,121.024
P0132,Orthopedics,868,0.6874,0.1511,3.7532,0.2007,0.0012,36.125,0.1709,137.5356
P0133,Orthopedics,886,0.4813,0.1226,3.4222,0.1907,0.0056,36.7083,0.2092,125.3786
P0134,Orthopedics,1483,0.5041,0.1497,3.5725,0.145,0.0047,61.5,0.143,126.7673
P0135,Orthopedics,570,0.5387,0.118,3.6338,0.2113,0.0035,23.6667,0.2273,133.4889
P0136,Orthopedics,771,0.4719,0.0575,3.3895,0.1059,0.0078,31.875,0.1428,115.4662
P0137,Orthopedics,866,0.5498,0.1562,3.6331,0.1644,0.0023,36.0,0.1554,131.0655
P0138,Orthopedics,785,0.5403,0.0948,3.589,0.169,0.0051,32.5417,0.2171,129.2165
P0139,Orthopedics,940,0.5564,0.1255,3.5457,0.0968,0.0,39.1667,0.1412,122.6979
P0140,Orthopedics,818,0.481,0.1387,3.5706,0.1706,0.0037,33.9583,0.1439,129.3003
P0141,Orthopedics,675,0.3866,0.0881,3.3134,0.1627,0.0074,27.9167,0.2185,119.1899
P0142,Orthopedics,1169,0.5532,0.1081,3.5926,0.1252,0.0026,48.5833,0.1579,125.7621
P0143,Orthopedics,742,0.4871,0.0963,3.5319,0.1275,0.0067,30.7083,0.2074,123.4276
P0144,Orthopedics,630,0.5824,0.136,3.6144,0.1056,0.0079,26.0417,0.1976,125.719
P0145,Orthopedics,1119,0.5311,0.1116,3.6238,0.0846,0.0071,46.2917,0.1854,123.8145
P0146,Orthopedics,671,0.5609,0.1564,3.6451,0.1594,0.0089,27.7083,0.1373,131.1443
P0147,Orthopedics,610,0.4818,0.1535,3.5627,0.1469,0.0066,25.25,0.1363,128.5402
P0148,Orthopedics,850,0.5302,0.058,3.5077,0.1266,0.0059,35.2083,0.1607,121.5367
P0149,Orthopedics,843,0.4083,0.1274,3.4095,0.1083,0.0036,35.0,0.1479,117.474
P0150,Orthopedics,817,0.492,0.0894,3.5116,0.1334,0.0,34.0417,0.1901,122.661
P0151,Orthopedics,1001,0.5221,0.1026,3.5905,0.168,0.007,41.4167,0.1695,128.4843
P0152,Orthopedics,778,0.6256,0.0855,3.6762,0.193,0.0077,32.1667,0.2236,133.2322
P0153,Orthopedics,687,0.4818,0.099,3.4978,0.1485,0.0,28.625,0.167,123.7765
P0154,Orthopedics,1072,0.552,0.2034,3.6579,0.1518,0.0047,44.4583,0.1236,131.6539
P0155,Orthopedics,915,0.5143,0.1031,3.5428,0.159,0.0033,38.0,0.2115,126.9496
P0156,Orthopedics,1494,0.6027,0.1329,3.702,0.1342,0.0027,62.0833,0.1198,131.3608
P0157,Orthopedics,1134,0.5938,0.1467,3.6409,0.144,0.0079,46.875,0.1442,129.4751
P0158,Orthopedics,578,0.5269,0.0641,3.4645,0.1681,0.0017,24.0417,0.1817,123.6893
P0159,Orthopedics,866,0.6257,0.1159,3.664,0.1634,0.0035,35.9583,0.1313,131.2317
P0160,Orthopedics,1193,0.4616,0.0996,3.4599,0.1207,0.0067,49.375,0.1704,120.3524
P0161,Orthopedics,704,0.6097,0.1068,3.6752,0.114,0.0028,29.25,0.2248,129.0392
P0162,Orthopedics,663,0.5441,0.1094,3.6079,0.1307,0.0075,27.4167,0.218,126.9077
P0163,Orthopedics,1101,0.5721,0.1038,3.5923,0.1194,0.0109,45.375,0.1325,124.5504
P0164,Orthopedics,1094,0.418,0.1357,3.4308,0.1017,0.0027,45.4583,0.1329,118.6251
P0165,Orthopedics,804,0.5402,0.1005,3.5704,0.0917,0.01,33.1667,0.2139,121.8164
P0166,Orthopedics,876,0.62,0.1447,3.6785,0.1803,0.0057,36.2917,0.168,135.1954
P0167,Orthopedics,982,0.523,0.1328,3.5935,0.2033,0.0031,40.7917,0.121,131.5686
P0168,Orthopedics,758,0.5733,0.148,3.5997,0.181,0.0013,31.5417,0.1977,130.9262
P0169,Orthopedics,731,0.4718,0.11,3.4787,0.1623,0.0055,30.2917,0.1848,124.6066
P0170,Orthopedics,888,0.5181,0.1309,3.5892,0.184,0.0023,36.9167,0.1732,130.3041
P0171,Orthopedics,1226,0.5254,0.1123,3.5328,0.1287,0.0049,50.8333,0.1502,123.8662
P0172,Orthopedics,603,0.5583,0.1367,3.6567,0.16,0.005,25.0,0.1681,131.4613
P0173,Orthopedics,524,0.5296,0.0937,3.5488,0.0803,0.0019,21.7917,0.2118,120.0427
P0174,Orthopedics,776,0.5768,0.1729,3.7277,0.1832,0.0013,32.2917,0.2059,135.9898
P0175,Orthopedics,842,0.494,0.0251,3.4344,0.0716,0.0048,34.9167,0.1803,114.1657
P0176,Orthopedics,1099,0.4854,0.1633,3.5557,0.1204,0.0027,45.6667,0.1737,124.9133
P0177,Orthopedics,1052,0.604,0.1698,3.6784,0.1145,0.0038,43.6667,0.1562,129.1936
P0178,Orthopedics,712,0.5737,0.1133,3.6388,0.1176,0.0084,29.4167,0.1613,126.8928
P0179,Orthopedics,878,0.4614,0.0863,3.4511,0.1254,0.0103,36.2083,0.1338,120.4157
P0180,Orthopedics,752,0.5295,0.1059,3.571,0.1421,0.008,31.0833,0.22,125.9195
P0181,Dermatology,1621,0.2734,0.0477,3.0812,0.2684,0.0049,67.2083,0.1371,116.9578
P0182,Dermatology,1546,0.2611,0.0653,3.1606,0.3238,0.0091,63.8333,0.1358,123.7686
P0183,Dermatology,1513,0.3833,0.0231,3.2274,0.3126,0.0,63.0417,0.1211,124.2514
P0184,Dermatology,2021,0.2263,0.0663,3.1117,0.3056,0.0074,83.5833,0.1312,121.0953
P0185,Dermatology,1328,0.2766,0.0158,3.052,0.324,0.0008,55.2917,0.137,118.8191
P0186,Dermatology,2229,0.3167,0.0733,3.2011,0.3162,0.0027,92.625,0.5605,125.2062
P0187,Dermatology,1664,0.1899,0.0512,3.0084,0.2978,0.003,69.125,0.0704,116.6002
P0188,Dermatology,1900,0.197,0.0227,3.1136,0.2942,0.0037,78.875,0.1262,118.7682
P0189,Dermatology,1096,0.2484,0.0376,2.9945,0.3116,0.0046,45.4583,0.1385,116.7515
P0190,Dermatology,1139,0.2961,0.0151,3.1826,0.3165,0.0097,47.0,0.1704,123.4822
P0191,Dermatology,1264,0.2626,0.0559,3.1269,0.3159,0.1084,46.9583,0.1322,123.1367
P0192,Dermatology,1974,0.2934,0.0254,3.1365,0.2817,0.002,82.0833,0.0946,118.8191
P0193,Dermatology,2212,0.3279,0.046,3.2359,0.3051,0.0072,91.5,0.1137,125.0755
P0194,Dermatology,1599,0.2378,0.0427,3.0797,0.3871,0.0031,66.4167,0.1352,125.4282
P0195,Dermatology,1759,0.2115,0.0189,3.0309,0.3362,0.0057,72.875,0.1559,119.6896
P0196,Dermatology,2160,0.1844,0.0209,3.0618,0.2935,0.0032,89.7083,0.103,116.5471
P0197,Dermatology,1516,0.3126,0.0185,3.0695,0.2775,0.004,62.9167,0.0964,117.1697
P0198,Dermatology,1237,0.3809,0.0316,3.1977,0.2828,0.0024,51.4167,0.1179,121.1894
P0199,Dermatology,1459,0.3352,0.044,3.2376,0.3084,0.0021,60.6667,0.1817,124.9015
P0200,Dermatology,1306,0.4393,0.0561,3.3771,0.265,0.0031,54.25,0.133,126.8513
P0201,Dermatology,2154,0.287,0.044,3.206,0.3165,0.0084,89.0,0.6372,124.4347
P0202,Dermatology,1481,0.3503,0.0745,3.2649,0.2927,0.0034,61.5,0.1486,126.5024
P0203,Dermatology,1598,0.2707,0.0388,3.0633,0.2907,0.0013,66.5,0.1378,117.5512
P0204,Dermatology,1815,0.1866,0.026,2.9025,0.2857,0.005,75.25,0.1579,111.3456
P0205,Dermatology,1629,0.3782,0.0346,3.2219,0.28,0.0068,67.4167,0.5719,122.15
P0206,Dermatology,2203,0.3411,0.0518,3.265,0.331,0.01,90.875,0.1415,127.6787
P0207,Dermatology,817,0.3448,0.0528,3.2528,0.3006,0.0024,33.9583,0.1709,125.7861
P0208,Dermatology,1176,0.2103,0.035,3.0017,0.3325,0.0051,48.75,0.1342,119.3727
P0209,Dermatology,2072,0.3558,0.0141,3.1886,0.6345,0.0097,85.5,0.1099,147.2299
P0210,Dermatology,1411,0.215,0.0236,3.0514,0.1971,0.0078,58.3333,0.1073,109.4583
P0211,Dermatology,1760,0.3168,0.0583,3.211,0.2916,0.0062,72.875,0.115,123.4668
P0212,Dermatology,1754,0.2864,0.0667,3.2053,0.2432,0.0086,72.4583,0.1503,119.4312
P0213,Dermatology,924,0.2283,0.0435,3.0196,0.3065,0.0043,38.3333,0.1519,118.303
P0214,Dermatology,1835,0.1933,0.065,3.0202,0.3053,0.0022,76.2917,0.1419,118.2391
P0215,Dermatology,2246,0.2479,0.0112,3.0318,0.3008,0.0067,92.9583,0.1098,116.6687
P0216,Dermatology,2340,0.4201,0.0667,3.2557,0.2656,0.0073,96.7917,0.1068,123.5474
P0217,Dermatology,1192,0.1553,0.027,3.0025,0.2827,0.0059,49.375,0.187,115.5329
P0218,Dermatology,1891,0.2695,0.0946,3.2547,0.244,0.0053,78.375,0.1047,121.5404
P0219,Dermatology,1056,0.3187,0.0676,3.1313,0.3416,0.0047,43.7917,0.1096,124.5688
P0220,Dermatology,1314,0.1896,0.0312,3.0518,0.2407,0.0008,54.7083,0.1348,113.352
P0221,Dermatology,2079,0.1741,0.047,2.8885,0.2842,0.0082,85.9167,0.1469,110.7895
P0222,Dermatology,2051,0.1733,0.0176,2.8576,0.3035,0.0039,85.125,0.1156,110.6707
P0223,Dermatology,1360,0.3157,0.0587,3.1694,0.3752,0.1103,50.4167,0.1768,128.4471
P0224,Dermatology,1442,0.3003,0.0272,3.0684,0.3059,0.0069,59.6667,0.1305,119.5921
P0225,Dermatology,982,0.7497,0.321,4.0164,0.3538,0.0071,40.625,0.1784,162.0903
P0226,Dermatology,1507,0.2395,0.012,3.0778,0.3207,0.0027,62.625,0.1493,119.2702
P0227,Dermatology,2535,0.3253,0.0691,3.2395,0.3114,0.0067,104.9167,0.126,125.6868
P0228,Dermatology,1285,0.2545,0.0414,3.0945,0.3052,0.0031,53.375,0.1741,120.0703
P0229,Dermatology,2086,0.2698,0.0337,3.0952,0.3588,0.0034,86.625,0.132,123.2288
P0230,Dermatology,1787,0.3027,0.0392,3.1385,0.2909,0.0017,74.3333,0.1288,120.2855
P0231,Dermatology,2503,0.2878,0.0689,3.1169,0.3131,0.002,104.0833,0.1273,122.0428
P0232,Dermatology,1944,0.3037,0.0434,3.1983,0.3125,0.0041,80.6667,0.0977,123.5627
P0233,Dermatology,1448,0.2343,0.009,2.9426,0.3034,0.0007,60.2917,0.1721,113.1663
P0234,Dermatology,1878,0.3285,0.0698,3.1637,0.3162,0.008,77.625,0.1029,123.6838
P0235,Dermatology,1028,0.2796,0.0459,3.1173,0.2698,0.0049,42.625,0.2076,118.7504
P0236,Dermatology,2291,0.3303,0.0488,3.2274,0.3113,0.0074,94.75,0.1411,124.6407
P0237,Dermatology,1313,0.2198,0.0505,2.9847,0.3124,0.0053,54.4167,0.1372,116.2239
P0238,Dermatology,2255,0.2473,0.0644,3.123,0.6614,0.0084,93.1667,0.1012,148.7577
P0239,Dermatology,1287,0.3934,0.1023,3.3138,0.2771,0.0047,53.375,0.1582,126.4195
P0240,Dermatology,1634,0.2391,0.0418,3.1211,0.2858,0.0043,67.7917,0.0932,118.7706
