rank,provider_id,specialty,n_detectors,disposition,peer_flag,ts_flag,iso_flag,peer_max_z,ts_volume_max_z,shift_z,iso_score,archetype
39,P0216,Dermatology,0,-,False,False,False,1.976,3.162,1.568,0.44,normal
40,P0156,Orthopedics,0,-,False,False,False,3.153,2.394,1.407,0.48,normal
41,P0025,Family Medicine,0,-,False,False,False,1.73,3.153,0.133,0.359,normal
42,P0073,Cardiology,0,-,False,False,False,3.141,1.226,2.159,0.42,normal
43,P0180,Orthopedics,0,-,False,False,False,1.305,3.138,0.0,0.354,normal
44,P0155,Orthopedics,0,-,False,False,False,1.088,3.133,0.753,0.353,normal
45,P0134,Orthopedics,0,-,False,False,False,3.085,1.896,1.156,0.45,normal
46,P0148,Orthopedics,0,-,False,False,False,0.331,3.005,1.614,0.375,normal
47,P0101,Cardiology,0,-,False,False,False,1.257,3.0,0.744,0.365,normal
48,P0047,Family Medicine,0,-,False,False,False,2.993,2.0,2.569,0.457,normal
49,P0212,Dermatology,0,-,False,False,False,1.183,2.954,1.434,0.4,normal
50,P0077,Cardiology,0,-,False,False,False,2.083,2.921,0.28,0.458,normal
51,P0064,Cardiology,0,-,False,False,False,0.794,2.907,0.903,0.46,normal
52,P0124,Orthopedics,0,-,False,False,False,1.947,2.903,1.096,0.382,normal
53,P0190,Dermatology,0,-,False,False,False,1.531,2.897,0.131,0.39,normal
54,P0013,Family Medicine,0,-,False,False,False,2.894,1.84,0.0,0.438,normal
55,P0154,Orthopedics,0,-,False,False,False,2.873,1.164,0.943,0.414,normal
56,P0174,Orthopedics,0,-,False,False,False,1.903,2.835,0.303,0.417,normal
57,P0161,Orthopedics,0,-,False,False,False,1.427,2.023,2.814,0.38,normal
58,P0133,Orthopedics,0,-,False,False,False,1.308,2.809,1.536,0.39,normal
59,P0126,Orthopedics,0,-,False,False,False,1.541,2.771,0.0,0.431,normal
60,P0009,Family Medicine,0,-,False,False,False,0.705,2.744,2.358,0.375,normal
61,P0145,Orthopedics,0,-,False,False,False,1.308,2.722,0.218,0.386,normal
62,P0169,Orthopedics,0,-,False,False,False,0.505,2.716,1.664,0.362,normal
63,P0059,Family Medicine,0,-,False,False,False,2.708,1.709,1.524,0.45,normal
64,P0168,Orthopedics,0,-,False,False,False,1.11,2.694,0.0,0.368,normal
65,P0023,Family Medicine,0,-,False,False,False,2.69,1.453,0.681,0.482,normal
66,P0011,Family Medicine,0,-,False,False,False,2.631,2.68,0.0,0.385,normal
67,P0123,Orthopedics,0,-,False,False,False,2.679,1.061,0.0,0.407,normal
68,P0052,Family Medicine,0,-,False,False,False,0.711,2.659,0.91,0.359,normal
69,P0076,Cardiology,0,-,False,False,False,1.548,2.652,0.78,0.449,normal
70,P0080,Cardiology,0,-,False,False,False,0.185,2.652,1.548,0.348,normal
71,P0171,Orthopedics,0,-,False,False,False,1.838,2.631,2.096,0.379,normal
72,P0095,Cardiology,0,-,False,False,False,1.331,1.644,2.615,0.375,normal
73,P0184,Dermatology,0,-,False,False,False,0.885,2.608,0.409,0.363,normal
74,P0149,Orthopedics,0,-,False,False,False,0.455,2.098,2.58,0.431,normal
75,P0083,Cardiology,0,-,False,False,False,2.576,2.553,1.186,0.382,normal
76,P0093,Cardiology,0,-,False,False,False,0.693,2.496,2.569,0.367,normal
77,P0028,Family Medicine,0,-,False,False,False,1.087,2.563,0.0,0.366,normal
78,P0044,Family Medicine,0,-,False,False,False,2.562,1.275,1.97,0.398,normal
79,P0002,Family Medicine,0,-,False,False,False,0.849,2.561,0.809,0.358,normal
80,P0204,Dermatology,0,-,False,False,False,0.755,2.553,0.577,0.421,normal
81,P0226,Dermatology,0,-,False,False,False,0.695,2.553,0.744,0.367,normal
82,P0057,Family Medicine,0,-,False,False,False,1.897,2.55,1.895,0.38,normal
83,P0162,Orthopedics,0,-,False,False,False,1.254,2.529,1.049,0.365,normal
84,P0022,Family Medicine,0,-,False,False,False,2.528,1.472,1.483,0.389,normal
85,P0234,Dermatology,0,-,False,False,False,1.022,2.524,0.0,0.365,normal
86,P0109,Cardiology,0,-,False,False,False,1.38,2.514,0.73,0.369,normal
87,P0198,Dermatology,0,-,False,False,False,1.43,2.507,0.966,0.381,normal
88,P0091,Cardiology,0,-,False,False,False,1.848,1.75,2.506,0.413,normal
89,P0116,Cardiology,0,-,False,False,False,1.02,2.505,0.316,0.395,normal
90,P0014,Family Medicine,0,-,False,False,False,1.714,2.498,1.266,0.385,normal
91,P0127,Orthopedics,0,-,False,False,False,2.356,2.496,0.729,0.435,normal
92,P0046,Family Medicine,0,-,False,False,False,2.047,2.495,1.205,0.391,normal
93,P0122,Orthopedics,0,-,False,False,False,2.474,0.457,0.0,0.411,normal
94,P0132,Orthopedics,0,-,False,False,False,2.468,2.473,1.294,0.459,normal
95,P0221,Dermatology,0,-,False,False,False,1.064,2.473,1.381,0.435,normal
96,P0229,Dermatology,0,-,False,False,False,2.411,2.452,1.367,0.386,normal
97,P0062,Cardiology,0,-,False,False,False,1.804,2.428,0.245,0.395,normal
98,P0016,Family Medicine,0,-,False,False,False,2.418,2.169,1.095,0.423,normal
99,P0117,Cardiology,0,-,False,False,False,1.973,2.415,0.0,0.395,normal
100,P0078,Cardiology,0,-,False,False,False,2.414,1.361,0.0,0.442,normal
101,P0217,Dermatology,0,-,False,False,False,1.714,2.412,0.947,0.424,normal
102,P0037,Family Medicine,0,-,False,False,False,0.705,2.404,1.408,0.357,normal
103,P0084,Cardiology,0,-,False,False,False,1.935,2.4,0.072,0.392,normal
104,P0139,Orthopedics,0,-,False,False,False,0.475,2.266,2.393,0.382,normal
105,P0032,Family Medicine,0,-,False,False,False,1.093,2.391,0.0,0.459,normal
106,P0227,Dermatology,0,-,False,False,False,1.82,2.383,0.634,0.392,normal
107,P0210,Dermatology,0,-,False,False,False,0.944,1.678,2.378,0.472,normal
108,P0143,Orthopedics,0,-,False,False,False,0.983,2.373,1.536,0.36,normal
109,P0020,Family Medicine,0,-,False,False,False,1.209,2.372,0.423,0.366,normal
110,P0088,Cardiology,0,-,False,False,False,1.888,2.353,1.491,0.431,normal
111,P0153,Orthopedics,0,-,False,False,False,0.113,2.341,2.063,0.37,normal
112,P0092,Cardiology,0,-,False,False,False,1.549,1.214,2.327,0.385,normal
113,P0131,Orthopedics,0,-,False,False,False,1.585,2.324,1.555,0.393,normal
114,P0035,Family Medicine,0,-,False,False,False,1.901,2.321,0.971,0.381,normal
115,P0121,Orthopedics,0,-,False,False,False,0.455,2.302,0.833,0.377,normal
116,P0090,Cardiology,0,-,False,False,False,1.231,2.287,0.0,0.364,normal
117,P0030,Family Medicine,0,-,False,False,False,1.907,2.263,0.283,0.409,normal
118,P0142,Orthopedics,0,-,False,False,False,1.575,2.261,0.0,0.374,normal
119,P0200,Dermatology,0,-,False,False,False,2.243,1.325,1.035,0.449,normal
120,P0215,Dermatology,0,-,False,False,False,1.241,2.226,0.443,0.385,normal
121,P0230,Dermatology,0,-,False,False,False,0.342,2.224,1.298,0.356,normal
122,P0058,Family Medicine,0,-,False,False,False,2.223,1.619,1.442,0.444,normal
123,P0197,Dermatology,0,-,False,False,False,0.48,2.213,1.096,0.384,normal
124,P0056,Family Medicine,0,-,False,False,False,1.959,2.198,1.53,0.387,normal
125,P0033,Family Medicine,0,-,False,False,False,1.639,2.179,0.304,0.382,normal
126,P0187,Dermatology,0,-,False,False,False,0.295,1.035,2.174,0.412,normal
127,P0188,Dermatology,0,-,False,False,False,0.56,2.168,0.914,0.371,normal
128,P0151,Orthopedics,0,-,False,False,False,0.738,2.16,0.0,0.355,normal
129,P0050,Family Medicine,0,-,False,False,False,0.922,2.16,0.766,0.422,normal
130,P0196,Dermatology,0,-,False,False,False,1.084,2.138,0.083,0.387,normal
131,P0070,Cardiology,0,-,False,False,False,2.129,1.771,0.606,0.404,normal
132,P0060,Family Medicine,0,-,False,False,False,2.12,1.486,0.0,0.481,normal
133,P0043,Family Medicine,0,-,False,False,False,0.833,2.1,1.564,0.357,normal
134,P0106,Cardiology,0,-,False,False,False,1.126,2.082,1.279,0.4,normal
135,P0048,Family Medicine,0,-,False,False,False,2.066,0.964,0.455,0.382,normal
136,P0170,Orthopedics,0,-,False,False,False,1.118,2.055,1.585,0.352,normal
137,P0041,Family Medicine,0,-,False,False,False,1.23,1.853,2.039,0.363,normal
138,P0202,Dermatology,0,-,False,False,False,1.208,2.023,0.0,0.371,normal
139,P0103,Cardiology,0,-,False,False,False,1.252,2.021,0.345,0.368,normal
140,P0240,Dermatology,0,-,False,False,False,0.023,2.016,0.476,0.364,normal
141,P0012,Family Medicine,0,-,False,False,False,1.36,2.001,1.611,0.379,normal
142,P0071,Cardiology,0,-,False,False,False,1.334,2.0,0.983,0.397,normal
143,P0218,Dermatology,0,-,False,False,False,1.996,1.518,1.012,0.423,normal
144,P0181,Dermatology,0,-,False,False,False,0.158,1.993,1.119,0.357,normal
145,P0089,Cardiology,0,-,False,False,False,1.228,1.989,0.247,0.364,normal
146,P0079,Cardiology,0,-,False,False,False,0.223,1.976,0.136,0.437,normal
147,P0119,Cardiology,0,-,False,False,False,-0.057,1.976,0.455,0.41,normal
148,P0055,Family Medicine,0,-,False,False,False,1.882,1.967,1.204,0.43,normal
149,P0026,Family Medicine,0,-,False,False,False,0.682,1.962,0.251,0.407,normal
150,P0144,Orthopedics,0,-,False,False,False,0.973,1.96,0.0,0.381,normal
151,P0160,Orthopedics,0,-,False,False,False,1.668,1.959,0.533,0.396,normal
152,P0053,Family Medicine,0,-,False,False,False,1.64,1.941,1.682,0.383,normal
153,P0099,Cardiology,0,-,False,False,False,0.848,1.933,0.0,0.386,normal
154,P0125,Orthopedics,0,-,False,False,False,1.923,1.405,1.596,0.396,normal
155,P0173,Orthopedics,0,-,False,False,False,1.095,1.919,1.488,0.421,normal
156,P0067,Cardiology,0,-,False,False,False,1.23,1.915,1.374,0.377,normal
157,P0163,Orthopedics,0,-,False,False,False,1.9,1.581,1.201,0.386,normal
158,P0135,Orthopedics,0,-,False,False,False,1.891,1.274,1.166,0.409,normal
159,P0085,Cardiology,0,-,False,False,False,1.336,1.889,0.453,0.361,normal
160,P0097,Cardiology,0,-,False,False,False,1.667,1.874,1.531,0.36,normal
161,P0220,Dermatology,0,-,False,False,False,-0.006,1.348,1.869,0.424,normal
162,P0111,Cardiology,0,-,False,False,False,0.26,1.671,1.868,0.373,normal
163,P0213,Dermatology,0,-,False,False,False,0.555,1.859,1.617,0.383,normal
164,P0024,Family Medicine,0,-,False,False,False,0.899,1.853,1.439,0.37,normal
165,P0029,Family Medicine,0,-,False,False,False,1.573,1.852,1.389,0.386,normal
166,P0192,Dermatology,0,-,False,False,False,0.715,1.851,0.0,0.377,normal
167,P0158,Orthopedics,0,-,False,False,False,0.669,1.668,1.837,0.406,normal
168,P0087,Cardiology,0,-,False,False,False,0.997,1.821,0.0,0.369,normal
169,P0120,Cardiology,0,-,False,False,False,0.863,1.82,0.143,0.359,normal
170,P0177,Orthopedics,0,-,False,False,False,1.806,1.574,0.864,0.389,normal
171,P0065,Cardiology,0,-,False,False,False,1.746,1.8,1.0,0.399,normal
172,P0074,Cardiology,0,-,False,False,False,1.766,1.795,1.316,0.467,normal
173,P0172,Orthopedics,0,-,False,False,False,0.952,1.792,0.0,0.375,normal
174,P0006,Family Medicine,0,-,False,False,False,0.575,1.789,0.698,0.363,normal
175,P0211,Dermatology,0,-,False,False,False,0.739,1.784,1.461,0.357,normal
176,P0004,Family Medicine,0,-,False,False,False,1.241,1.769,0.888,0.369,normal
177,P0136,Orthopedics,0,-,False,False,False,0.925,1.768,0.612,0.441,normal
178,P0040,Family Medicine,0,-,False,False,False,0.923,1.445,1.757,0.446,normal
179,P0063,Cardiology,0,-,False,False,False,0.537,1.754,1.303,0.354,normal
180,P0179,Orthopedics,0,-,False,False,False,1.697,1.741,0.0,0.388,normal
181,P0104,Cardiology,0,-,False,False,False,0.797,1.738,1.192,0.356,normal
182,P0110,Cardiology,0,-,False,False,False,0.839,1.724,0.182,0.397,normal
183,P0182,Dermatology,0,-,False,False,False,1.341,1.712,0.555,0.361,normal
184,P0081,Cardiology,0,-,False,False,False,0.684,1.677,1.712,0.355,normal
185,P0130,Orthopedics,0,-,False,False,False,0.595,1.2,1.711,0.376,normal
186,P0082,Cardiology,0,-,False,False,False,0.935,1.701,1.586,0.37,normal
187,P0045,Family Medicine,0,-,False,False,False,1.699,1.317,1.001,0.392,normal
188,P0061,Cardiology,0,-,False,False,False,0.546,1.693,0.917,0.396,normal
189,P0113,Cardiology,0,-,False,False,False,0.681,1.686,0.859,0.362,normal
190,P0152,Orthopedics,0,-,False,False,False,1.502,1.616,1.68,0.405,normal
191,P0167,Orthopedics,0,-,False,False,False,1.665,1.249,1.385,0.374,normal
192,P0206,Dermatology,0,-,False,False,False,1.635,1.664,1.289,0.397,normal
193,P0034,Family Medicine,0,-,False,False,False,1.344,1.651,0.485,0.376,normal
194,P0112,Cardiology,0,-,False,False,False,1.027,1.651,0.261,0.375,normal
195,P0183,Dermatology,0,-,False,False,False,1.464,0.9,1.65,0.392,normal
196,P0166,Orthopedics,0,-,False,False,False,1.644,1.649,1.0,0.389,normal
197,P0214,Dermatology,0,-,False,False,False,0.834,1.638,0.0,0.374,normal
198,P0219,Dermatology,0,-,False,False,False,1.635,1.289,0.323,0.386,normal
199,P0176,Orthopedics,0,-,False,False,False,1.599,1.571,1.631,0.385,normal
200,P0031,Family Medicine,0,-,False,False,False,0.077,1.619,0.944,0.368,normal
201,P0195,Dermatology,0,-,False,False,False,1.392,1.606,0.511,0.379,normal
202,P0019,Family Medicine,0,-,False,False,False,1.278,1.601,1.138,0.382,normal
203,P0237,Dermatology,0,-,False,False,False,0.321,1.587,1.38,0.366,normal
204,P0228,Dermatology,0,-,False,False,False,1.287,1.587,0.908,0.355,normal
205,P0015,Family Medicine,0,-,False,False,False,0.18,1.372,1.569,0.376,normal
206,P0129,Orthopedics,0,-,False,False,False,1.353,1.567,0.767,0.359,normal
207,P0164,Orthopedics,0,-,False,False,False,1.21,1.551,0.0,0.439,normal
208,P0138,Orthopedics,0,-,False,False,False,1.231,1.533,1.403,0.36,normal
209,P0140,Orthopedics,0,-,False,False,False,0.814,1.514,1.288,0.361,normal
210,P0178,Orthopedics,0,-,False,False,False,1.127,1.512,0.633,0.362,normal
211,P0159,Orthopedics,0,-,False,False,False,1.504,1.469,0.0,0.376,normal
212,P0051,Family Medicine,0,-,False,False,False,0.397,1.492,1.074,0.346,normal
213,P0189,Dermatology,0,-,False,False,False,0.287,1.459,0.0,0.37,normal
214,P0066,Cardiology,0,-,False,False,False,1.01,1.424,0.37,0.405,normal
215,P0001,Family Medicine,0,-,False,False,False,0.64,1.422,0.995,0.384,normal
216,P0007,Family Medicine,0,-,False,False,False,0.808,1.41,0.238,0.396,normal
217,P0075,Cardiology,0,-,False,False,False,0.769,1.408,0.768,0.365,normal
218,P0010,Family Medicine,0,-,False,False,False,1.397,1.289,0.252,0.376,normal
219,P0157,Orthopedics,0,-,False,False,False,1.376,1.378,1.298,0.379,normal
220,P0146,Orthopedics,0,-,False,False,False,1.378,1.341,1.13,0.381,normal
221,P0137,Orthopedics,0,-,False,False,False,1.374,1.37,0.0,0.362,normal
222,P0108,Cardiology,0,-,False,False,False,0.709,1.349,0.29,0.394,normal
223,P0224,Dermatology,0,-,False,False,False,0.673,1.328,0.752,0.358,normal
224,P0236,Dermatology,0,-,False,False,False,1.328,1.286,1.1,0.371,normal
225,P0193,Dermatology,0,-,False,False,False,1.171,1.307,0.0,0.371,normal
226,P0098,Cardiology,0,-,False,False,False,0.547,1.296,0.186,0.365,normal
227,P0185,Dermatology,0,-,False,False,False,0.845,1.293,0.184,0.372,normal
228,P0147,Orthopedics,0,-,False,False,False,1.285,1.251,0.862,0.38,normal
229,P0100,Cardiology,0,-,False,False,False,1.15,1.282,0.0,0.362,normal
230,P0115,Cardiology,0,-,False,False,False,0.59,1.259,0.0,0.375,normal
231,P0208,Dermatology,0,-,False,False,False,1.225,1.237,0.266,0.377,normal
232,P0018,Family Medicine,0,-,False,False,False,1.224,1.183,0.944,0.397,normal
233,P0233,Dermatology,0,-,False,False,False,1.22,1.18,1.138,0.406,normal
234,P0207,Dermatology,0,-,False,False,False,1.183,1.219,1.142,0.404,normal
235,P0003,Family Medicine,0,-,False,False,False,1.182,1.216,0.0,0.373,normal
236,P0005,Family Medicine,0,-,False,False,False,1.184,1.066,0.647,0.359,normal
237,P0232,Dermatology,0,-,False,False,False,0.646,1.06,0.711,0.362,normal
238,P0027,Family Medicine,0,-,False,False,False,1.048,0.865,0.317,0.362,normal
239,P0102,Cardiology,0,-,False,False,False,0.883,0.986,0.701,0.385,normal
240,P0049,Family Medicine,0,-,False,False,False,0.719,0.877,0.0,0.386,normal
